编号,开始答题时间,结束答题时间,答题时长,1.您所在社区目前**是否已设置**“快递包装共享回收箱”？,2.您**每月收到的快递数量**,3.**过去 30 天**您使用回收箱的次数,4.您投入的主要包装类型（可多选）:纸箱,4.您投入的主要包装类型（可多选）:塑料袋/快递袋,4.您投入的主要包装类型（可多选）:填充物,4.您投入的主要包装类型（可多选）:其他,5.您在使用回收箱时遇到的**主要障碍**（可多选）:位置不便,5.您在使用回收箱时遇到的**主要障碍**（可多选）:排队/拥堵,5.您在使用回收箱时遇到的**主要障碍**（可多选）:不清楚可回收物,5.您在使用回收箱时遇到的**主要障碍**（可多选）:无奖励,5.您在使用回收箱时遇到的**主要障碍**（可多选）:卫生差,5.您在使用回收箱时遇到的**主要障碍**（可多选）:担心信息泄露,5.您在使用回收箱时遇到的**主要障碍**（可多选）:其他,6.若将回收服务成本计入物业费，您是否接受每月物业费**相比当前增加不超过2元**？,7.您的性别,8.您的年龄,9.您的最高学历,10.您的职业,11.感知有用性:显著减少生活垃圾,11.感知有用性:提升社区形象,11.感知有用性:节省处理时间,11.感知有用性:助力双碳目标,12.感知便利性:投递步骤易懂,12.感知便利性:回收箱离家距离近,12.感知便利性:开放时间充足,13.感知风险性:担心个人信息泄露,13.感知风险性:担心箱体卫生导致虫鼠,13.感知风险性:担心未来产生额外收费,14.感知趣味性:投递过程让我心情愉快,14.感知趣味性:完成投递让我有成就感,15.信任程度:相信包装会被妥善处理,15.信任程度:相信积分/奖励可正常兑换,15.信任程度:相信平台的数据隐私保护,16.主观规范:家人朋友赞成,16.主观规范:社区干部建议,16.主观规范:邻居使用影响,16.主观规范:媒体宣传倡导,17.环境责任:环保是个人责任,17.环境责任:在意包装浪费,17.环境责任:为后代保护环境,17.环境责任:愿减少一次性用品,18.使用习惯:已形成习惯性投递,18.使用习惯:不回收会感到不自在,18.使用习惯:回收行为对我来说很自然,19.激励方案兴趣度:现金红包,19.激励方案兴趣度:积分商城,19.激励方案兴趣度:快递费减免,19.激励方案兴趣度:绿色碳积分,19.激励方案兴趣度:公益植树,19.激励方案兴趣度:社区荣誉排行,19.激励方案兴趣度:物业费折扣,19.激励方案兴趣度:抽盲盒,19.激励方案兴趣度:商家优惠券,19.激励方案兴趣度:二手盒返现,20.未来使用意向:每月持续使用,20.未来使用意向:高频使用意愿,20.未来使用意向:无奖励坚持,20.未来使用意向:社交分享,20.未来使用意向:志愿推广,21.您认为**最有效的激励方案**是什么？请简述原因。,22.其他建议或补充意见,语言,清洗数据结果,智能清洗数据无效概率,地理位置国家和地区,地理位置省,地理位置市,自定义字段,IP,UA,Referrer
200,2025/5/8 0:35,2025/5/8 0:40,301,A.是,A.1-3个,B.1-2次,A.纸箱,B.塑料袋/快递袋,,,,,,D.无奖励,,,G.其他,A.是,A.男,C.26-30,D.本科,B.全职上班族,D.同意,D.同意,B.不同意,C.一般,D.同意,E.非常同意,C.一般,C.一般,D.同意,C.一般,D.同意,D.同意,D.同意,D.同意,D.同意,B.不同意,E.非常同意,C.一般,C.一般,C.一般,D.同意,D.同意,D.同意,C.一般,C.一般,E.非常同意,A.非常不同意,C.一般,D.同意,C.一般,C.一般,C.一般,D.同意,C.一般,D.同意,D.同意,E.非常同意,E.非常同意,D.同意,D.同意,D.同意,无,建议在高校试点“学分+绿币”双激励，大学生会更有动力。,简体中文,未清洗,,中国,上海市,上海市,,101.226.186.105,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.15.1782(0xB33C8BFF) WindowsWechat(0x1B191EFF) XWEB/53365 Flue",
199,2025/5/8 14:04,2025/5/8 14:18,820,A.是,C.7-10个,D.6-10次,A.纸箱,,,,,,,D.无奖励,,,,A.是,B.女,E.36-45,E.硕士,C.自由职业,D.同意,E.非常同意,C.一般,D.同意,C.一般,C.一般,D.同意,C.一般,C.一般,D.同意,E.非常同意,D.同意,E.非常同意,C.一般,D.同意,E.非常同意,C.一般,C.一般,A.非常不同意,D.同意,E.非常同意,C.一般,D.同意,E.非常同意,D.同意,D.同意,C.一般,E.非常同意,D.同意,C.一般,E.非常同意,D.同意,D.同意,C.一般,E.非常同意,C.一般,C.一般,D.同意,E.非常同意,A.非常不同意,A.非常不同意,没有,没有,简体中文,未清洗,,中国,广东省,深圳市,,183.15.69.146,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.17.1755(0x8026A4FF) WindowsWechat(0x97FED3FF) XWEB/19237 Flue",
198,2025/5/7 7:58,2025/5/7 8:08,634,A.是,A.1-3个,B.1-2次,A.纸箱,,,,A.位置不便,,,D.无奖励,,,,C.视服务质量而定,B.女,F.46及以上,C.大专,D.退休,E.非常同意,E.非常同意,D.同意,D.同意,B.不同意,B.不同意,D.同意,D.同意,C.一般,B.不同意,D.同意,C.一般,C.一般,C.一般,C.一般,C.一般,D.同意,D.同意,C.一般,C.一般,A.非常不同意,D.同意,C.一般,C.一般,E.非常同意,C.一般,C.一般,C.一般,C.一般,D.同意,E.非常同意,D.同意,C.一般,B.不同意,D.同意,E.非常同意,C.一般,C.一般,E.非常同意,D.同意,D.同意,回收次数兑换社区健身房时段，健康激励两不误。,我更在乎环保，但家人觉得占时间，你们可以做亲子活动，让孩子给家长“颁奖”增强家庭动力。,简体中文,未清洗,,中国,浙江省,杭州市,,115.236.78.144,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 QQ/9.1.60 V1_IPH_SQ_9.1.60_0_APP_A Pixel/1170",
197,2025/5/8 13:12,2025/5/8 13:19,430,A.是,A.1-3个,D.6-10次,A.纸箱,,,,,B.排队/拥堵,,,E.卫生差,,,C.视服务质量而定,B.女,C.26-30,C.大专,B.全职上班族,C.一般,B.不同意,D.同意,D.同意,D.同意,C.一般,D.同意,D.同意,D.同意,A.非常不同意,E.非常同意,C.一般,D.同意,C.一般,C.一般,D.同意,C.一般,A.非常不同意,E.非常同意,D.同意,E.非常同意,D.同意,D.同意,C.一般,D.同意,A.非常不同意,C.一般,C.一般,C.一般,D.同意,E.非常同意,D.同意,D.同意,D.同意,E.非常同意,D.同意,D.同意,E.非常同意,C.一般,C.一般,C.一般,无,无,简体中文,未清洗,,中国,浙江省,宁波市,,115.238.149.48,"Mozilla/5.0 (Linux; Android 12; PD2296 Build/HUAWEIV2219A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6747.31 MQQBrowser/6.2 TBS/058142 Mobile Safari/537.36 V1_AND_SQ_9.0.50_YYB_D QQ/9.0.50.28421 NetType/4G WebP/0.3.0 A",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
